Location,Soil moist,Slope,1day rain in,3day rain in,5day rain in,1day cumu,3day cumu,5 day cumu,soil type
"REGION 11, DAVAO DE ORO, Montevista, Tapia",5.1,5,0.010916667,0.005194444,0.003716667,0.262,0.374,0.446,3
"REGION 11, DAVAO DE ORO, Montevista, Camantangan",5.3,4,0.050875,0.016958333,0.010175,1.221,1.221,1.221,3
"REGION 11, DAVAO DE ORO, Montevista, New Cebulan",5.3,5,0.050875,0.016958333,0.010175,1.221,1.221,1.221,3
"REGION 11, DAVAO DE ORO, Montevista, New Cebulan",6,5,0.147458333,0.068069444,0.051016667,3.539,4.901,6.122,3
"REGION 11, DAVAO DE ORO, Montevista, Bangkeruhan Sur",5.9,1,0.016375,0.035875,0.021525,0.393,2.583,2.583,3
"REGION 11, DAVAO ORIENTAL, Caraga, Don Leon Balante",5.6,4,0.111708333,0.050861111,0.03185,2.681,3.662,3.822,3
"REGION 11, DAVAO ORIENTAL, Caraga, Lamiawan",6.5,6,0.075375,0.103888889,0.0664,1.809,7.48,7.968,3
"REGION 11, DAVAO ORIENTAL, Caraga, Manorigao",5.5,4,0.014166667,0.008444444,0.0055,0.34,0.608,0.66,3
"REGION 11, DAVAO DEL SUR, Malalag, Bolton, ",4.6,2,0.016375,0.035875,0.021525,0.393,2.583,2.583,3
"REGION 2, NUEVA VIZCAYA, Bambang, Magsasay Hills",6,3,0.022958333,0.010597222,0.009966667,0.551,0.763,1.196,3
"REGION 2, NUEVA VIZCAYA, Ambaguio, Poblacion",6,6,0.082,0.029055556,0.023933333,1.968,2.092,2.872,3
"REGION 2, NUEVA VIZCAYA, Kayapa, Mapayao",6,5,0.098708333,0.034541667,0.0277,2.369,2.487,3.324,3
"CALABARZON, RIZAL, Binangonan, Calumpang",6,1,0.023708333,0.027111111,0.016916667,0.569,1.952,2.03,5
"REGION 1, LA UNION, Rosario, Purok 1 Cataguintingan",6.2,4,0.045583333,0.021208333,0.015016667,1.094,1.527,1.802,3
"REGION 3, ZAMBALES, Subic, Cawag",6.4,4,0.086,0.046833333,0.029875,2.064,3.372,3.585,2
"CALABARZON, CAVITE, General Mariano Alvarez, Brgy. Calimag",5.5,4,0.007916667,0.010375,0.038925,0.19,0.747,4.671,2
"CALABARZON, CAVITE, General Mariano Alvarez, Brgy. Olaes",5.3,3,0.041708333,0.019569444,0.029883333,1.001,1.409,3.586,2
"CALABARZON, CAVITE, General Mariano Alvarez, Brgy. F Reyes",5.3,2,0.044291667,0.020930556,0.031908333,1.063,1.507,3.829,2
"CALABARZON, RIZAL, Antipolo, Cupang",6.2,4,0.02825,0.014291667,0.031191667,0.678,1.029,3.743,3
"CALABARZON, RIZAL, Antipolo, Mayamot",6.1,2,0.024125,0.011736111,0.030408333,0.579,0.845,3.649,3
"CALABARZON, RIZAL, Antipolo, San Jose",5.8,4,0.037,0.020458333,0.033158333,0.888,1.473,3.979,3
"REGION 5, CAMARINES SUR, Buhi, 1",5.8,,0.0115,0.112083333,0.0683,0.276,8.07,8.196,
"REGION 6, AKLAN, Nabas, Gibon",6.4,1,0.017625,0.044125,0.032583333,0.423,3.177,3.91,3
"REGION 1, ILOCOS SUR, Salcedo (Baugen), Kaliwasiw",3.4,4,0.021666667,0.014430556,0.010883333,0.52,1.039,1.306,3
"REGION 1, ILOCOS SUR, Sugpon, Zone 1, Balbalayang",5.8,1,0.07975,0.041347222,0.028658333,1.914,2.977,3.439,3
"REGION 1, ILOCOS SUR, Sugpon, Zone 3, Balbalayang",6.5,1,0.427125,0.171694444,0.1127,10.251,12.362,13.524,3
"REGION 1, ILOCOS SUR, Sugpon, Zone 6, Balbalayang",6.5,1,0.427125,0.171694444,0.1127,10.251,12.362,13.524,3
"REGION 1, ILOCOS SUR, Sugpon, Pangotan",5.8,6,0.07975,0.041347222,0.028658333,1.914,2.977,3.439,3
"CALABARZON, RIZAL, Taytay, Brgy. Muzon (Maharlika Creekside)",0.8,1,0.125833333,0.051972222,0.038966667,3.02,3.742,4.676,3
"CALABARZON, RIZAL, Taytay, Brgy. Muzon (Maniano Sitio Gulod)",0.8,1,0.161833333,0.103069444,0.070908333,3.884,7.421,8.509,3
"CALABARZON, RIZAL, Taytay, Brgy. Muzon (Maharlika)",0,1,0,0,0,0,0,0,3
"CALABARZON, RIZAL, Taytay, Brgy. San Isidro (Lower Manggahan)",0.8,1,0.1545,0.098361111,0.066525,3.708,7.082,7.983,3
"CALABARZON, RIZAL, Antipolo, Sitio Bautista, Brgy. San Jose",0.8,4,0.164583333,0.106097222,0.071133333,3.95,7.639,8.536,3
"CALABARZON, RIZAL, Antipolo, San Roque (Eastview 4 Subdivision, Sitio Ahon)",0.8,2,0.164833333,0.106416667,0.071825,3.956,7.662,8.619,3
"CALABARZON, RIZAL, Antipolo, San Jose (Sitio Buhanginan)",0.8,4,0.293416667,0.214069444,0.13655,7.042,15.413,16.386,3
"CALABARZON, RIZAL, Antipolo, Brgy. Cupang (along Marcos Highway Kingsway, Hardrock)",6.6,4,0.144958333,0.092944444,0.061066667,3.479,6.692,7.328,3
"CALABARZON, RIZAL, Antipolo, Calawis (Purok 6)",6.6,5,0.1845,0.118722222,0.078133333,4.428,8.548,9.376,3
"REGION 7, NEGROS ORIENTAL, Santa Catalina, Nagbalaye",4.9,4,0.005083333,0.004819444,0.003225,0.122,0.347,0.387,2
"REGION 9, ZAMBOANGA DEL SUR, Zamboanga City, Pamucutan",5.9,4,0.000833333,0.007805556,0.00915,0.02,0.562,1.098,3
"REGION 9, ZAMBOANGA DEL SUR, Kumalarang, Picanan",6.1,1,0.023583333,0.037972222,0.054008333,0.566,2.734,6.481,3
"REGION 11, DAVAO OCCIDENTAL, Sarangani, Konel",0.5,4,0.289375,0.137027778,0.094841667,6.945,9.866,11.381,2
"REGION 11, DAVAO DEL NORTE, Samal, Balet",1.7,1,0.000833333,0.059013889,0.043608333,0.02,4.249,5.233,2
"CARAGA, AGUSAN DEL SUR, Talacogon, Culi-ram",4.8,4,0.018875,0.011319444,0.013383333,0.453,0.815,1.606,1
"CARAGA, SURIGAO DEL NORTE, San Francisco (Anao-Aon), Oslao",4.5,5,0.081833333,0.048736111,0.031108333,1.964,3.509,3.733,3
"BARMM, LANAO DEL SUR, Amai Manabilang (Bumbaran)",6.4,,0.078708333,0.069972222,0.047491667,1.889,5.038,5.699,
"CALABARZON, QUEZON, Lucban, Brgy. Piis",4.6,3,0.127916667,0.045277778,0.029533333,3.07,3.26,3.544,3
"CALABARZON, QUEZON, Mauban, Brgy. Daungan (Sitio Camposano)",0.5,1,0.132583333,0.051041667,0.0322,3.182,3.675,3.864,5
"CALABARZON, QUEZON, Mauban, Liwayway (Ilaya)",4.6,4,0.133541667,0.047972222,0.031225,3.205,3.454,3.747,5
"CALABARZON, RIZAL, Taytay, Golden City, Brgy. Dolores",0.5,3,0.038625,0.014833333,0.0089,0.927,1.068,1.068,3
"REGION 8, EASTERN SAMAR, San Julian, Libas",4.1,4,0.0005,0.007055556,0.004975,0.012,0.508,0.597,3
"REGION 8, EASTERN SAMAR, Balangiga, Guinmaayohan",4,4,0.122833333,0.044236111,0.02855,2.948,3.185,3.426,2
"REGION 11, DAVAO DE ORO, Monkayo, Purok 2A, Poblacion",5.5,1,0.000833333,0.006486111,0.005758333,0.02,0.467,0.691,3
"REGION 11, DAVAO DE ORO, Monkayo, Poblacion",6.8,1,0.047375,0.038097222,0.026583333,1.137,2.743,3.19,3
"REGION 11, DAVAO DE ORO, Monkayo, Mt. Diwata",6.7,6,0.063041667,0.073986111,0.057908333,1.513,5.327,6.949,3
"REGION 11, DAVAO DE ORO, Monkayo, Olaycon",5.5,5,0.000833333,0.006486111,0.005758333,0.02,0.467,0.691,3
"REGION 11, DAVAO DE ORO, Monkayo, Macopa",6.8,1,0.047375,0.038097222,0.026583333,1.137,2.743,3.19,3
"REGION 11, DAVAO DE ORO, Monkayo, P8, Pasian",6.5,5,0.0025,0.033625,0.041108333,0.06,2.421,4.933,3
"REGION 11, DAVAO DE ORO, New Bataan, P-15, Camanlangan",6.9,6,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO DE ORO, Maco, Elizalde",6.7,6,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO DE ORO, Maragusan (San Mariano), New Panay",6.7,6,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO DE ORO, Nabunturan, New Sibonga",6.9,4,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO DE ORO, Pantukan, Las Arenas",6.8,6,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO DE ORO, Pantukan, Tagugpo",6.8,6,0.045916667,0.087819444,0.053616667,1.102,6.323,6.434,2
"REGION 11, DAVAO DE ORO, Laak, Mabuhay",6.9,4,0.034916667,0.060763889,0.036933333,0.838,4.375,4.432,2
"REGION 11, DAVAO DE ORO, Mabini, Anitapan",6.7,5,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO DE ORO, Mabini, Anitapan",6.7,5,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO ORIENTAL, Boston, Prk Tambis, Brgy Sibahay",6.1,4,0.017708333,0.024777778,0.020916667,0.425,1.784,2.51,3
"REGION 11, DAVAO ORIENTAL, Boston, Prk Bong-on, Brgy Sibahay",6.5,4,0.160541667,0.063402778,0.049991667,3.853,4.565,5.999,3
"REGION 11, DAVAO ORIENTAL, Boston, Prk San Flower, Sumilao, & Old Panaohon, Brgy Poblacion",5.3,5,0.022916667,0.030166667,0.02265,0.55,2.172,2.718,3
"REGION 11, DAVAO ORIENTAL, Boston, Cawayanan",6.4,4,0.089416667,0.036263889,0.03205,2.146,2.611,3.846,3
"REGION 11, DAVAO ORIENTAL, Lupon, Banhawan, Marayag",6.8,5,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,2
"REGION 11, DAVAO ORIENTAL, Lupon, New Tuburan, San Isidro",2.7,5,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO ORIENTAL, Lupon, Quarry & Mag-uuma, Brgy Marayag",2.7,5,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO ORIENTAL, Lupon, Linao, Don Marcos",2.6,4,0.004291667,0.001541667,0.003358333,0.103,0.111,0.403,3
"REGION 11, DAVAO ORIENTAL, Lupon, Waywayan, Don Marcos",2.7,4,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO ORIENTAL, Lupon, P8, 1 & 4, New Visayas",2.7,5,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,3
"REGION 11, DAVAO ORIENTAL, Mati, Badas",5.6,5,0.004291667,0.001541667,0.003358333,0.103,0.111,0.403,3
"REGION 11, DAVAO ORIENTAL, Mati, Central",6.7,5,0.187041667,0.073944444,0.044433333,4.489,5.324,5.332,3
"REGION 11, DAVAO ORIENTAL, Mati, Mayo",6.4,1,0.0305,0.011708333,0.009458333,0.732,0.843,1.135,2
"REGION 11, DAVAO CITY, No breakdown, Sitio Yuhico Upper Kibalang, Marilog Proper",5.7,5,0.187041667,0.073944444,0.044433333,4.489,5.324,5.332,5
"CARAGA, AGUSAN DEL SUR, Trento, Santa Maria",7,4,0.052166667,0.051708333,0.040491667,1.252,3.723,4.859,2
"CARAGA, AGUSAN DEL SUR, Trento, Poblacion",5.7,3,0.001,0.006111111,0.0055,0.024,0.44,0.66,3
"CARAGA, AGUSAN DEL SUR, Trento, Pangyan",6.9,4,0.030291667,0.071152778,0.063283333,0.727,5.123,7.594,3
"CARAGA, AGUSAN DEL SUR, Trento, Cebolin",6.9,4,0.030291667,0.071152778,0.063283333,0.727,5.123,7.594,3
"CARAGA, AGUSAN DEL SUR, Trento, Salvacion",6.9,3,0.030291667,0.071152778,0.063283333,0.727,5.123,7.594,3
"CARAGA, AGUSAN DEL SUR, Trento, Cuevas",6.9,3,0.01825,0.049,0.040808333,0.438,3.528,4.897,3
"CARAGA, AGUSAN DEL SUR, Veruela, Katipunan - Sta. Cruz Road Section (Km. 23 portion)",6.4,4,0.075291667,0.052069444,0.031808333,1.807,3.749,3.817,3
"CARAGA, AGUSAN DEL SUR, Loreto, Sabud",6.4,4,0.064333333,0.031916667,0.019616667,1.544,2.298,2.354,2
"CARAGA, AGUSAN DEL SUR, San Luis, Dona Flavia",5,4,0.001958333,0.000930556,0.003133333,0.047,0.067,0.376,1
"CARAGA, AGUSAN DEL SUR, San Luis, Dona Maxima",5.5,1,0.055708333,0.027597222,0.016725,1.337,1.987,2.007,1
"CARAGA, BUTUAN CITY, Butuan, Don Francisco",5.9,4,0.050875,0.029472222,0.01795,1.221,2.122,2.154,3
"CARAGA, SURIGAO DEL SUR, Barobo, Sudlon",6.4,6,0.040541667,0.050444444,0.030766667,0.973,3.632,3.692,2
"REGION 11, DAVAO DE ORO, Maragusan (San Mariano), Katipunan",4.9,6,0,0.000277778,0.000266667,0,0.02,0.032,3
"REGION 11, DAVAO DE ORO, Maragusan (San Mariano), Langgawisan",5.4,6,0.041041667,0.013791667,0.008275,0.985,0.993,0.993,3
"REGION 11, DAVAO DE ORO, Compostela, Ngan",4.8,1,0.09125,0.033416667,0.023333333,2.19,2.406,2.8,3
"CALABARZON, QUEZON, Mauban, Brgy. Alitap",0.8,5,0.046291667,0.032819444,0.025041667,1.111,2.363,3.005,5
"CALABARZON, QUEZON, Mauban, Sitio Bundok, Brgy. San Gabriel",0.8,4,0.045916667,0.032625,0.024991667,1.102,2.349,2.999,5
"CALABARZON, QUEZON, Mauban, Sitio Kalumpit Brgy. Santa Lucia",6.5,5,0.046875,0.033097222,0.0251,1.125,2.383,3.012,5
"REGION 5, SORSOGON, Gubat, Santa Ana",2.6,3,0.057833333,0.037652778,0.0498,1.388,2.711,5.976,3
"REGION 5, SORSOGON, Barcelona, Cagang",1.8,4,0.097125,0.077625,0.056425,2.331,5.589,6.771,3
"REGION 5, CAMARINES NORTE, San Roque",5,4,0.172916667,0.060652778,0.037291667,4.15,4.367,4.475,4
"REGION 5, CAMARINES NORTE, Itok",6.3,4,0.053333333,0.056138889,0.035758333,1.28,4.042,4.291,4
"REGION 5, CAMARINES NORTE, Jose Panganiban, Calero",6,4,0.0755,0.048541667,0.033458333,1.812,3.495,4.015,3
"REGION 5, CAMARINES NORTE, Jose Panganiban, Luklukan Norte",6,5,0.075958333,0.049194444,0.033725,1.823,3.542,4.047,3
"REGION 5, CAMARINES NORTE, Jose Panganiban, Sta. Milagrosa",6,4,0.075333333,0.048305556,0.03335,1.808,3.478,4.002,3
"REGION 5, CAMARINES NORTE, Jose Panganiban, Sta. Rosa Norte",6,4,0.076208333,0.049486111,0.033858333,1.829,3.563,4.063,3
